Item,Price,Stats,Type,Weight,Special
Tiger eye,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Turquoise,10,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Bloodstone,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Carnelian,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Chalcedony,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Chrysoprase,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Citrine,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Jasper,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Moonstone,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Onyx,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Quartz,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Sardonyx,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Star rose quartz,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Zircon,50,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Amber,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Amethyst,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Chrysoberyl,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Coral,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Garnet,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Jade,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Jet,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Pearl,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Spinel,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Tourmaline,100,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Alexandrite,500,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Aquamarine,500,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Black pearl,500,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Blue spinel,500,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Peridot,500,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Topaz,500,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Black opal,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Blue sapphire,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Emerald,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Fire opal,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Opal,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Star ruby,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Star sapphire,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Yellow sapphire,1000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Black sapphire,5000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Diamond,5000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Jacinth,5000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Ruby,5000,"{""NA"":""NA""}",Gemstone,0 lb,N/A
Silver ewer,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Carved bone statuette,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Small gold bracelet,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Cloth-of-gold vestments,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Black velvet mask stitched with silver thread,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Copper chalice with silver filigree,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Pair of engraved bone dice,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Small mirror set in a painted wooden frame,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Embroidered silk handkerchief,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold locket with a painted portrait inside,25,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold ring set with bloodstones,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Carved ivory statuette,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Large gold bracelet,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Silver necklace with a gemstone pendant,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Bronze crown,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Silk robe with gold embroidery,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Large well-made tapestry,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Brass mug with jade inlay,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Box of turquoise animal figurines,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold bird cage with electrum filigree,250,"{""NA"":""NA""}",Art Object,1 lb,N/A
Silver chalice set with moonstones,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Silver-plated steellongsword with jet set in hilt,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
"Carved harp of exotic wood with ivory inlay and
zircon gems",750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Small gold idol,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold dragon comb set with red garnets as eyes,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
"Bottle stopper cork embossed with gold leaf and
set with amethysts",750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Ceremonial electrum dagger wit~ a black pearl in,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
the pommel,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Silver and gold brooch,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Obsidian statuette with gold fittings and inlay,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Painted gold war mask,750,"{""NA"":""NA""}",Art Object,1 lb,N/A
Fine gold chain set with a fire opal,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Old masterpiece painting,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Embroidered silk and velvet mantle set with,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
numerous moonstones,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Platinum bracelet set with a sapphire,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Embroidered glove set with jewel chips,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Jeweled anklet,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold music box,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold circlet set with four aquamarines,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Eye patch with a mock eye set in blue sapphire and moonstone,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
A necklace string of small pink pearls,2500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Jeweled gold crown,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
jeweled platinum ring,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Small gold statuette set with rubies,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold cup set with emeralds,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Gold jewelry box with platinum filigree,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Painted gold child's sarcophagus,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
jade game board with solid gold playing pieces,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Bejeweled ivory drinking horn with gold filigree,7500,"{""NA"":""NA""}",Art Object,1 lb,N/A
Contractor's Field Bag,50,"{""NA"":""NA""}",Trade Good,1 lb.,N/A
Day Pack,20,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Calligrapher's supplies,10,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Carpenters tools,8,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Cartographers tools,15,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Range Pack (Standard),30,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Cooks utensils,1,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Smart Phone,200,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Computer : Tablet,500,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Leatherworkers tools,5,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Masons tools,10,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Painters supplies,10,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Computer : Desktop,300,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Smiths tools,20,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Tinkers tools,50,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Weavers tools,1,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Woodcarver's tools,1,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Dice set,0.1,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Dragonchess set,1,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Playing card set,0.5,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Drum,6,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Lute,25,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Horn,3,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Navigators tools,25,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Rope,5,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Computer : Notebook,400,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Metal Detector,30,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Bolt Cutters,45,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Duct Tape,5,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Electrical Tool Kit,400,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Zip-Ties,25,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Compas,10,"{""NA"":""NA""}",Trade Good,1 lb,N/A
Bullets:5.56mm (20),7.5,"{""NA"":""NA""}",Weapons,0 lb,N/A
Bullets:7.62mm (20),7.5,"{""NA"":""NA""}",Weapons,0 lb,N/A
Bullets:7.62mmR (20),7.5,"{""NA"":""NA""}",Weapons,0 lb,N/A
Bullets:.444 Caliber(20),15,"{""NA"":""NA""}",Weapons,0 lb,N/A
Bullets:.5 Caliber(20),15,"{""NA"":""NA""}",Weapons,0 lb,N/A
Bullets:9mm(50),10,"{""NA"":""NA""}",Weapons,0 lb,N/A
Bullets:10-gauge buckshot(10),20,"{""NA"":""NA""}",Weapons,0 lb,N/A
Bullets:12-guage buckshot(10),20,"{""NA"":""NA""}",Weapons,0 lb,N/A
